D0309 17:12:43.991279456   21026 ev_posix.cc:172]            Using polling engine: epollex
I0309 17:12:44.009661413   21030 timer_generic.cc:489]         .. shard[17]->queue_deadline_cap --> 2206
I0309 17:12:44.009698474   21030 timer_generic.cc:563]         .. shard[17] popped 0
I0309 17:12:44.009734135   21030 timer_generic.cc:622]         .. result --> 1, shard[17]->min_deadline 1192 --> 2207, now=1206
I0309 17:12:44.009774507   21030 timer_generic.cc:518]         .. shard[18]: heap_empty=true
I0309 17:12:44.009812558   21030 timer_generic.cc:489]         .. shard[18]->queue_deadline_cap --> 2206
I0309 17:12:44.009854659   21030 timer_generic.cc:563]         .. shard[18] popped 0
I0309 17:12:44.009890460   21030 timer_generic.cc:622]         .. result --> 1, shard[18]->min_deadline 1192 --> 2207, now=1206
I0309 17:12:44.009929771   21030 timer_generic.cc:518]         .. shard[19]: heap_empty=true
I0309 17:12:44.009967412   21030 timer_generic.cc:489]         .. shard[19]->queue_deadline_cap --> 2206
I0309 17:12:44.010010093   21030 timer_generic.cc:563]         .. shard[19] popped 0
I0309 17:12:44.010047265   21030 timer_generic.cc:622]         .. result --> 1, shard[19]->min_deadline 1192 --> 2207, now=1206
I0309 17:12:44.010087546   21030 timer_generic.cc:518]         .. shard[20]: heap_empty=true
I0309 17:12:44.010126637   21030 timer_generic.cc:489]         .. shard[20]->queue_deadline_cap --> 2206
I0309 17:12:44.010164318   21030 timer_generic.cc:563]         .. shard[20] popped 0
I0309 17:12:44.010201239   21030 timer_generic.cc:622]         .. result --> 1, shard[20]->min_deadline 1192 --> 2207, now=1206
I0309 17:12:44.010240210   21030 timer_generic.cc:518]         .. shard[21]: heap_empty=true
I0309 17:12:44.010278021   21030 timer_generic.cc:489]         .. shard[21]->queue_deadline_cap --> 2206
I0309 17:12:44.010314612   21030 timer_generic.cc:563]         .. shard[21] popped 0
I0309 17:12:44.010351163   21030 timer_generic.cc:622]         .. result --> 1, shard[21]->min_deadline 1192 --> 2207, now=1206
I0309 17:12:44.010402225   21030 timer_generic.cc:518]         .. shard[22]: heap_empty=true
I0309 17:12:44.010444356   21030 timer_generic.cc:489]         .. shard[22]->queue_deadline_cap --> 2206
I0309 17:12:44.010486127   21030 timer_generic.cc:563]         .. shard[22] popped 0
I0309 17:12:44.010521578   21030 timer_generic.cc:622]         .. result --> 1, shard[22]->min_deadline 1192 --> 2207, now=1206
I0309 17:12:44.010564690   21030 timer_generic.cc:518]         .. shard[23]: heap_empty=true
I0309 17:12:44.010604411   21030 timer_generic.cc:489]         .. shard[23]->queue_deadline_cap --> 2206
I0309 17:12:44.010641842   21030 timer_generic.cc:563]         .. shard[23] popped 0
I0309 17:12:44.010676953   21030 timer_generic.cc:622]         .. result --> 1, shard[23]->min_deadline 1192 --> 2207, now=1206
I0309 17:12:44.010716114   21030 timer_generic.cc:518]         .. shard[24]: heap_empty=true
I0309 17:12:44.010754705   21030 timer_generic.cc:489]         .. shard[24]->queue_deadline_cap --> 2206
I0309 17:12:44.010791976   21030 timer_generic.cc:563]         .. shard[24] popped 0
I0309 17:12:44.010827257   21030 timer_generic.cc:622]         .. result --> 1, shard[24]->min_deadline 1192 --> 2207, now=1206
I0309 17:12:44.010866378   21030 timer_generic.cc:518]         .. shard[25]: heap_empty=true
I0309 17:12:44.010903360   21030 timer_generic.cc:489]         .. shard[25]->queue_deadline_cap --> 2206
I0309 17:12:44.010941181   21030 timer_generic.cc:563]         .. shard[25] popped 0
I0309 17:12:44.010977722   21030 timer_generic.cc:622]         .. result --> 1, shard[25]->min_deadline 1192 --> 2207, now=1206
I0309 17:12:44.011016113   21030 timer_generic.cc:518]         .. shard[26]: heap_empty=true
I0309 17:12:44.011053594   21030 timer_generic.cc:489]         .. shard[26]->queue_deadline_cap --> 2206
I0309 17:12:44.011095325   21030 timer_generic.cc:563]         .. shard[26] popped 0
I0309 17:12:44.011131696   21030 timer_generic.cc:622]         .. result --> 1, shard[26]->min_deadline 1192 --> 2207, now=1206
I0309 17:12:44.011171067   21030 timer_generic.cc:518]         .. shard[27]: heap_empty=true
I0309 17:12:44.011209659   21030 timer_generic.cc:489]         .. shard[27]->queue_deadline_cap --> 2206
I0309 17:12:44.011246770   21030 timer_generic.cc:563]         .. shard[27] popped 0
I0309 17:12:44.011282121   21030 timer_generic.cc:622]         .. result --> 1, shard[27]->min_deadline 1192 --> 2207, now=1206
I0309 17:12:44.011320382   21030 timer_generic.cc:518]         .. shard[28]: heap_empty=true
I0309 17:12:44.011358503   21030 timer_generic.cc:489]         .. shard[28]->queue_deadline_cap --> 2206
I0309 17:12:44.011403784   21030 timer_generic.cc:563]         .. shard[28] popped 0
I0309 17:12:44.011441755   21030 timer_generic.cc:622]         .. result --> 1, shard[28]->min_deadline 1192 --> 2207, now=1206
I0309 17:12:44.011481836   21030 timer_generic.cc:518]         .. shard[29]: heap_empty=true
I0309 17:12:44.011520998   21030 timer_generic.cc:489]         .. shard[29]->queue_deadline_cap --> 2206
I0309 17:12:44.011564619   21030 timer_generic.cc:563]         .. shard[29] popped 0
I0309 17:12:44.011601700   21030 timer_generic.cc:622]         .. result --> 1, shard[29]->min_deadline 1192 --> 2207, now=1206
I0309 17:12:44.011646701   21030 timer_generic.cc:518]         .. shard[30]: heap_empty=true
I0309 17:12:44.011692173   21030 timer_generic.cc:489]         .. shard[30]->queue_deadline_cap --> 2206
I0309 17:12:44.011730394   21030 timer_generic.cc:563]         .. shard[30] popped 0
I0309 17:12:44.011766135   21030 timer_generic.cc:622]         .. result --> 1, shard[30]->min_deadline 1192 --> 2207, now=1206
I0309 17:12:44.011804746   21030 timer_generic.cc:518]         .. shard[31]: heap_empty=true
I0309 17:12:44.011841937   21030 timer_generic.cc:489]         .. shard[31]->queue_deadline_cap --> 2206
I0309 17:12:44.011879498   21030 timer_generic.cc:563]         .. shard[31] popped 0
I0309 17:12:44.011915729   21030 timer_generic.cc:622]         .. result --> 1, shard[31]->min_deadline 1192 --> 2207, now=1206
I0309 17:12:44.011959130   21030 timer_generic.cc:730]       TIMER CHECK END: r=1; next=2207
I0309 17:12:44.011998381   21030 timer_manager.cc:189]       sleep for a 1001 milliseconds
I0309 17:12:44.024441335   21026 channel.cc:422]             grpc_channel_register_call(channel=0x9183a0, method=/mathtest.MathTest/sendRequest, host=(null), reserved=(nil))
I0309 17:12:44.024720083   21026 init.cc:237]                grpc_shutdown(void)
I0309 17:12:44.024888398   21026 init.cc:196]                grpc_init(void)
I0309 17:12:44.024953490   21026 completion_queue.cc:515]    grpc_completion_queue_create_internal(completion_type=1, polling_type=0)
I0309 17:12:44.024995351   21026 ev_posix.cc:303]            (polling-api) pollset_init(0x913420)
I0309 17:12:44.025044382   21026 channel.cc:456]             grpc_channel_create_registered_call(channel=0x9183a0, parent_call=(nil), propagation_mask=ffff, completion_queue=0x9132a0, registered_call_handle=0x915ee0, deadline=gpr_timespec { tv_sec: 9223372036854775807, tv_nsec: 0, clock_type: 1 }, reserved=(nil))
D0309 17:12:44.025164176   21026 transport.h:158]            CLIENT_CHANNEL 0x918420:0x9183a0 REF call
I0309 17:12:44.025217707   21026 ref_counted.h:115]          stream_refcount:0x918420 /public/home/lifei/xinzk/source/grpc/src/core/lib/transport/transport.h:161 ref 1 -> 2 call
I0309 17:12:44.025731822   21026 client_channel.cc:1874]     chand=0x9184a0 calld=0x91ce10: created call
I0309 17:12:44.025805705   21026 grpc_context.cc:29]         grpc_census_call_set_context(call=0x91c070, census_context=(nil))
I0309 17:12:44.025991520   21026 call.cc:1761]               grpc_call_start_batch(call=0x91c070, ops=0x7ffd689b8550, nops=6, tag=0x7ffd689b8890, reserved=(nil))
I0309 17:12:44.026098413   21026 call.cc:1355]               ops[0]: SEND_INITIAL_METADATA(nil)
I0309 17:12:44.026173695   21026 call.cc:1355]               ops[1]: SEND_MESSAGE ptr=0x90c920
I0309 17:12:44.026221847   21026 call.cc:1355]               ops[2]: RECV_INITIAL_METADATA ptr=0x7ffd689b8cd8
I0309 17:12:44.026268858   21026 call.cc:1355]               ops[3]: RECV_MESSAGE ptr=0x7ffd689b8920
I0309 17:12:44.026311739   21026 call.cc:1355]               ops[4]: SEND_CLOSE_FROM_CLIENT
I0309 17:12:44.026366351   21026 call.cc:1355]               ops[5]: RECV_STATUS_ON_CLIENT metadata=0x7ffd689b8d28 status=0x7ffd689b8958 details=0x7ffd689b8960
D0309 17:12:44.026565517   21026 transport.h:158]            CALL_STACK 0x91cd80:0x91c070 REF completion
I0309 17:12:44.026608428   21026 ref_counted.h:115]          stream_refcount:0x91cd80 /public/home/lifei/xinzk/source/grpc/src/core/lib/transport/transport.h:161 ref 1 -> 2 completion
I0309 17:12:44.026671130   21026 call_combiner.cc:127]       ==> CallCombiner::Start() [0x91c088] closure=0x91d0c0 [/public/home/lifei/xinzk/source/grpc/src/core/lib/surface/call.cc:623: executing batch] error="OK"
I0309 17:12:44.026710531   21026 call_combiner.cc:136]         size: 0 -> 1
I0309 17:12:44.026752552   21026 call_combiner.cc:144]         EXECUTING IMMEDIATELY
D0309 17:12:44.026801654   21026 exec_ctx.cc:34]             running closure 0x91d0c0: created [/public/home/lifei/xinzk/source/grpc/src/core/lib/surface/call.cc:621]: scheduled [/public/home/lifei/xinzk/source/grpc/src/core/lib/iomgr/call_combiner.cc:109]
I0309 17:12:44.027514495   21026 call.cc:610]                OP[client-channel:0x91cdf0]:  SEND_INITIAL_METADATA{:path: /mathtest.MathTest/sendRequest} SEND_MESSAGE:flags=0x00000000:len=4 SEND_TRAILING_METADATA{} RECV_INITIAL_METADATA RECV_MESSAGE RECV_TRAILING_METADATA
I0309 17:12:44.027577366   21026 client_channel.cc:2026]     chand=0x9184a0 calld=0x91ce10: adding pending batch at index 0
I0309 17:12:44.027616137   21026 client_channel.cc:1978]     chand=0x9184a0 calld=0x91ce10: grabbing resolution mutex to apply service config
I0309 17:12:44.027665099   21026 connectivity_state.cc:182]  ConnectivityStateTracker client_channel[0x918550]: get current state: IDLE
D0309 17:12:44.027703980   21026 transport.h:158]            CLIENT_CHANNEL 0x918420:0x9183a0 REF CheckResolutionLocked
I0309 17:12:44.027741401   21026 ref_counted.h:115]          stream_refcount:0x918420 /public/home/lifei/xinzk/source/grpc/src/core/lib/transport/transport.h:161 ref 2 -> 3 CheckResolutionLocked
I0309 17:12:44.027798603   21026 client_channel.cc:2190]     chand=0x9184a0 calld=0x91ce10: adding to resolver queued picks list
I0309 17:12:44.027847594   21026 ev_posix.cc:364]            (polling-api) pollset_set_add_pollset(0x916390, 0x913420)
I0309 17:12:44.027884925   21026 ev_epollex_linux.cc:1452]   PSS:0x916390: add pollset 0x913420
I0309 17:12:44.027930207   21026 ev_epollex_linux.cc:566]    (fd-trace) Pollable_create: created epfd: 7 (type: 0)
I0309 17:12:44.027975388   21026 ev_epollex_linux.cc:1250]   PS:0x913420 active pollable transition from empty to multi
I0309 17:12:44.028014489   21026 ref_counted.h:86]           pollable_refcount:0x91dab8 /public/home/lifei/xinzk/source/grpc/src/core/lib/iomgr/ev_epollex_linux.cc:1281 ref 1 -> 2 pollset_set
I0309 17:12:44.028058110   21026 ref_counted.h:182]          pollable_refcount:0x91dab8 /public/home/lifei/xinzk/source/grpc/src/core/lib/iomgr/ev_epollex_linux.cc:1480 unref 2 -> 1 pollset_set
D0309 17:12:44.028100252   21026 transport.h:158]            CALL_STACK 0x91cd80:0x91c070 REF ResolverQueuedCallCanceller
I0309 17:12:44.028137303   21026 ref_counted.h:115]          stream_refcount:0x91cd80 /public/home/lifei/xinzk/source/grpc/src/core/lib/transport/transport.h:161 ref 2 -> 3 ResolverQueuedCallCanceller
I0309 17:12:44.028178214   21026 call_combiner.cc:233]       call_combiner=0x91c088: setting notify_on_cancel=0x90b3f8
D0309 17:12:44.028216725   21026 exec_ctx.cc:54]             closure 0x91d0c0 finished
D0309 17:12:44.028254966   21026 exec_ctx.cc:34]             running closure 0x913560: created [/public/home/lifei/xinzk/source/grpc/src/core/ext/filters/client_channel/client_channel.cc:2352]: scheduled [/public/home/lifei/xinzk/source/grpc/src/core/ext/filters/client_channel/client_channel.cc:2339]
I0309 17:12:44.028386690   21026 work_serializer.cc:78]      WorkSerializer::Run() 0x915220 Scheduling callback [/public/home/lifei/xinzk/source/grpc/src/core/ext/filters/client_channel/client_channel.cc:2352]
I0309 17:12:44.028430741   21026 work_serializer.cc:90]        Executing immediately
I0309 17:12:44.028469022   21026 connectivity_state.cc:182]  ConnectivityStateTracker client_channel[0x918550]: get current state: IDLE
D0309 17:12:44.028505834   21026 transport.h:158]            CLIENT_CHANNEL 0x918420:0x9183a0 REF TryToConnect
I0309 17:12:44.028541375   21026 ref_counted.h:115]          stream_refcount:0x918420 /public/home/lifei/xinzk/source/grpc/src/core/lib/transport/transport.h:161 ref 3 -> 4 TryToConnect
I0309 17:12:44.028580376   21026 work_serializer.cc:78]      WorkSerializer::Run() 0x915220 Scheduling callback [/public/home/lifei/xinzk/source/grpc/src/core/ext/filters/client_channel/client_channel.cc:1839]
I0309 17:12:44.028621417   21026 work_serializer.cc:101]       Scheduling on queue : item 0x90d660
D0309 17:12:44.028668358   21026 transport.h:175]            CLIENT_CHANNEL 0x918420:0x9183a0 UNREF CheckResolutionLocked
I0309 17:12:44.028706349   21026 ref_counted.h:182]          stream_refcount:0x918420 /public/home/lifei/xinzk/source/grpc/src/core/lib/transport/transport.h:178 unref 4 -> 3 CheckResolutionLocked
I0309 17:12:44.028742320   21026 work_serializer.cc:158]     WorkSerializer::DrainQueueOwned() 0x915220
I0309 17:12:44.028782622   21026 work_serializer.cc:201]       Running item 0x90d660 : callback scheduled at [/public/home/lifei/xinzk/source/grpc/src/core/ext/filters/client_channel/client_channel.cc:1839]
I0309 17:12:44.028890465   21026 client_channel.cc:1543]     chand=0x9184a0: starting name resolution
D0309 17:12:44.028949346   21026 transport.h:158]            CLIENT_CHANNEL 0x918420:0x9183a0 REF ResolverResultHandler
I0309 17:12:44.028987888   21026 ref_counted.h:115]          stream_refcount:0x918420 /public/home/lifei/xinzk/source/grpc/src/core/lib/transport/transport.h:161 ref 3 -> 4 ResolverResultHandler
I0309 17:12:44.029675938   21026 connectivity_state.cc:159]  ConnectivityStateTracker client_channel[0x918550]: IDLE -> CONNECTING (started resolving, OK)
D0309 17:12:44.029786131   21026 dns_resolver_ares.cc:170]   (c-ares resolver) resolver:0x91dfe0 AresClientChannelDNSResolver::StartLocked() is called.
I0309 17:12:44.029849733   21026 ref_counted.h:86]           Resolver:0x91dfe8 /public/home/lifei/xinzk/source/grpc/src/core/ext/filters/client_channel/resolver/dns/c_ares/dns_resolver_ares.cc:453 ref 1 -> 2 dns-resolving
D0309 17:12:44.029907094   21026 grpc_ares_wrapper.cc:1048]  (c-ares resolver) request:0x914e70 c-ares grpc_dns_lookup_ares_impl name=12.8.10.78:5000, default_port=https
I0309 17:12:44.030227624   21026 grpc_ares_wrapper.cc:531]   (c-ares resolver) request:0x914e70 c-ares address sorting: input[0]=12.8.10.78:5000
I0309 17:12:44.030437760   21026 grpc_ares_wrapper.cc:531]   (c-ares resolver) request:0x914e70 c-ares address sorting: output[0]=12.8.10.78:5000
D0309 17:12:44.030525803   21026 dns_resolver_ares.cc:465]   (c-ares resolver) resolver:0x91dfe0 Started resolving. pending_request_:0x914e70
I0309 17:12:44.030568034   21026 client_channel.cc:1556]     chand=0x9184a0: created resolver=0x91dfe0
D0309 17:12:44.030604065   21026 transport.h:175]            CLIENT_CHANNEL 0x918420:0x9183a0 UNREF TryToConnect
I0309 17:12:44.030640436   21026 ref_counted.h:182]          stream_refcount:0x918420 /public/home/lifei/xinzk/source/grpc/src/core/lib/transport/transport.h:178 unref 4 -> 3 TryToConnect
D0309 17:12:44.030680757   21026 exec_ctx.cc:54]             closure 0x913560 finished
D0309 17:12:44.030718018   21026 exec_ctx.cc:34]             running closure 0x91e088: created [/public/home/lifei/xinzk/source/grpc/src/core/ext/filters/client_channel/resolver/dns/c_ares/dns_resolver_ares.cc:158]: scheduled [/public/home/lifei/xinzk/source/grpc/src/core/ext/filters/client_channel/resolver/dns/c_ares/grpc_ares_wrapper.cc:596]
I0309 17:12:44.030758779   21026 work_serializer.cc:78]      WorkSerializer::Run() 0x915220 Scheduling callback [/public/home/lifei/xinzk/source/grpc/src/core/ext/filters/client_channel/resolver/dns/c_ares/dns_resolver_ares.cc:318]
I0309 17:12:44.030795920   21026 work_serializer.cc:90]        Executing immediately
I0309 17:12:44.030940575   21026 client_channel.cc:1207]     chand=0x9184a0: got resolver result
I0309 17:12:44.031104369   21026 client_channel.cc:1264]     chand=0x9184a0: resolver returned no service config. Using default service config for channel.
