D0308 11:23:00.336059408   20911 ev_posix.cc:172]            Using polling engine: epollex
I0308 11:23:00.365847557   20911 ref_counted.h:75]           SubchannelPoolInterface:0x1c62368 ref 1 -> 2
I0308 11:23:00.365930240   20911 client_channel.cc:1045]     chand=0x1c62130: creating client_channel for channel stack 0x1c620b0
I0308 11:23:00.365978571   20911 ev_posix.cc:303]            (polling-api) pollset_init(0x1c62da0)
I0308 11:23:00.366034963   20911 timer_generic.cc:344]       TIMER 0x1c62410: SET 6564 now 1564 call 0x1c62450[0x2b785658851d]
I0308 11:23:00.366091425   20911 timer_generic.cc:382]         .. add to shard 11 with queue_deadline_cap=1549 => is_first_timer=false
I0308 11:23:00.366135096   20911 ev_posix.cc:364]            (polling-api) pollset_set_add_pollset(0x1c646a0, 0x1c62da0)
I0308 11:23:00.366171057   20911 ev_epollex_linux.cc:1451]   PSS:0x1c646a0: add pollset 0x1c62da0
I0308 11:23:00.366233429   20911 ev_epollex_linux.cc:565]    (fd-trace) Pollable_create: created epfd: 5 (type: 0)
I0308 11:23:00.366289860   20911 ev_epollex_linux.cc:1249]   PS:0x1c62da0 active pollable transition from empty to multi
I0308 11:23:00.367140935   20911 init.cc:198]                grpc_init(void)
I0308 11:23:00.367228558   20911 credentials.cc:41]          grpc_channel_credentials_release(creds=0x1c64b50)
I0308 11:23:00.367272079   20911 init.cc:239]                grpc_shutdown(void)
I0308 11:23:00.367353061   20911 channel.cc:422]             grpc_channel_register_call(channel=0x1c62030, method=/mathtest.MathTest/sendRequest, host=(null), reserved=(nil))
I0308 11:23:00.367618069   20911 init.cc:239]                grpc_shutdown(void)
I0308 11:23:00.367776874   20911 init.cc:198]                grpc_init(void)
I0308 11:23:00.367823925   20911 completion_queue.cc:515]    grpc_completion_queue_create_internal(completion_type=1, polling_type=0)
I0308 11:23:00.367862496   20911 ev_posix.cc:303]            (polling-api) pollset_init(0x1c5f8c0)
I0308 11:23:00.367913838   20911 channel.cc:456]             grpc_channel_create_registered_call(channel=0x1c62030, parent_call=(nil), propagation_mask=ffff, completion_queue=0x1c5f740, registered_call_handle=0x1c59b30, deadline=gpr_timespec { tv_sec: 9223372036854775807, tv_nsec: 0, clock_type: 1 }, reserved=(nil))
D0308 11:23:00.368028301   20911 transport.h:158]            CLIENT_CHANNEL 0x1c620b0:0x1c62030 REF call
I0308 11:23:00.368078683   20911 ref_counted.h:115]          stream_refcount:0x1c620b0 /public/home/lifei/xinzk/source/grpc-rdma/src/core/lib/transport/transport.h:161 ref 1 -> 2 call
I0308 11:23:00.368540626   20911 client_channel.cc:1874]     chand=0x1c62130 calld=0x1c692d0: created call
I0308 11:23:00.368611038   20911 grpc_context.cc:29]         grpc_census_call_set_context(call=0x1c68530, census_context=(nil))
I0308 11:23:00.368807284   20911 call.cc:1761]               grpc_call_start_batch(call=0x1c68530, ops=0x7fffb1616b50, nops=6, tag=0x7fffb1616e90, reserved=(nil))
I0308 11:23:00.368902317   20911 call.cc:1355]               ops[0]: SEND_INITIAL_METADATA(nil)
I0308 11:23:00.368983009   20911 call.cc:1355]               ops[1]: SEND_MESSAGE ptr=0x1c58db0
I0308 11:23:00.369032200   20911 call.cc:1355]               ops[2]: RECV_INITIAL_METADATA ptr=0x7fffb16172d8
I0308 11:23:00.369077772   20911 call.cc:1355]               ops[3]: RECV_MESSAGE ptr=0x7fffb1616f20
I0308 11:23:00.369117643   20911 call.cc:1355]               ops[4]: SEND_CLOSE_FROM_CLIENT
I0308 11:23:00.369169144   20911 call.cc:1355]               ops[5]: RECV_STATUS_ON_CLIENT metadata=0x7fffb1617328 status=0x7fffb1616f58 details=0x7fffb1616f60
D0308 11:23:00.369340989   20911 transport.h:158]            CALL_STACK 0x1c69240:0x1c68530 REF completion
I0308 11:23:00.369389251   20911 ref_counted.h:115]          stream_refcount:0x1c69240 /public/home/lifei/xinzk/source/grpc-rdma/src/core/lib/transport/transport.h:161 ref 1 -> 2 completion
I0308 11:23:00.369465903   20911 call_combiner.cc:127]       ==> CallCombiner::Start() [0x1c68548] closure=0x1c69580 [/public/home/lifei/xinzk/source/grpc-rdma/src/core/lib/surface/call.cc:623: executing batch] error="OK"
I0308 11:23:00.369510694   20911 call_combiner.cc:136]         size: 0 -> 1
I0308 11:23:00.369544215   20911 call_combiner.cc:144]         EXECUTING IMMEDIATELY
D0308 11:23:00.369585477   20911 exec_ctx.cc:34]             running closure 0x1c69580: created [/public/home/lifei/xinzk/source/grpc-rdma/src/core/lib/surface/call.cc:621]: scheduled [/public/home/lifei/xinzk/source/grpc-rdma/src/core/lib/iomgr/call_combiner.cc:109]
I0308 11:23:00.370247686   20911 call.cc:610]                OP[client-channel:0x1c692b0]:  SEND_INITIAL_METADATA{:path: /mathtest.MathTest/sendRequest} SEND_MESSAGE:flags=0x00000000:len=4 SEND_TRAILING_METADATA{} RECV_INITIAL_METADATA RECV_MESSAGE RECV_TRAILING_METADATA
I0308 11:23:00.370306138   20911 client_channel.cc:2026]     chand=0x1c62130 calld=0x1c692d0: adding pending batch at index 0
I0308 11:23:00.370343449   20911 client_channel.cc:1978]     chand=0x1c62130 calld=0x1c692d0: grabbing resolution mutex to apply service config
I0308 11:23:00.370406721   20911 connectivity_state.cc:182]  ConnectivityStateTracker client_channel[0x1c621e0]: get current state: IDLE
D0308 11:23:00.370449712   20911 transport.h:158]            CLIENT_CHANNEL 0x1c620b0:0x1c62030 REF CheckResolutionLocked
I0308 11:23:00.370484433   20911 ref_counted.h:115]          stream_refcount:0x1c620b0 /public/home/lifei/xinzk/source/grpc-rdma/src/core/lib/transport/transport.h:161 ref 2 -> 3 CheckResolutionLocked
I0308 11:23:00.370524374   20911 client_channel.cc:2190]     chand=0x1c62130 calld=0x1c692d0: adding to resolver queued picks list
I0308 11:23:00.370570235   20911 ev_posix.cc:364]            (polling-api) pollset_set_add_pollset(0x1c646a0, 0x1c5f8c0)
I0308 11:23:00.370605396   20911 ev_epollex_linux.cc:1451]   PSS:0x1c646a0: add pollset 0x1c5f8c0
I0308 11:23:00.370719730   20911 ev_epollex_linux.cc:565]    (fd-trace) Pollable_create: created epfd: 7 (type: 0)
I0308 11:23:00.370775071   20911 ev_epollex_linux.cc:1249]   PS:0x1c5f8c0 active pollable transition from empty to multi
D0308 11:23:00.370823463   20911 transport.h:158]            CALL_STACK 0x1c69240:0x1c68530 REF ResolverQueuedCallCanceller
I0308 11:23:00.370862604   20911 ref_counted.h:115]          stream_refcount:0x1c69240 /public/home/lifei/xinzk/source/grpc-rdma/src/core/lib/transport/transport.h:161 ref 2 -> 3 ResolverQueuedCallCanceller
I0308 11:23:00.370897745   20911 call_combiner.cc:233]       call_combiner=0x1c68548: setting notify_on_cancel=0x1c57f18
D0308 11:23:00.370934936   20911 exec_ctx.cc:54]             closure 0x1c69580 finished
D0308 11:23:00.370971247   20911 exec_ctx.cc:34]             running closure 0x1c5fa00: created [/public/home/lifei/xinzk/source/grpc-rdma/src/core/ext/filters/client_channel/client_channel.cc:2352]: scheduled [/public/home/lifei/xinzk/source/grpc-rdma/src/core/ext/filters/client_channel/client_channel.cc:2339]
I0308 11:23:00.371082080   20911 work_serializer.cc:78]      WorkSerializer::Run() 0x1c62760 Scheduling callback [/public/home/lifei/xinzk/source/grpc-rdma/src/core/ext/filters/client_channel/client_channel.cc:2352]
I0308 11:23:00.371121921   20911 work_serializer.cc:90]        Executing immediately
I0308 11:23:00.371158532   20911 connectivity_state.cc:182]  ConnectivityStateTracker client_channel[0x1c621e0]: get current state: IDLE
D0308 11:23:00.371195434   20911 transport.h:158]            CLIENT_CHANNEL 0x1c620b0:0x1c62030 REF TryToConnect
I0308 11:23:00.371228474   20911 ref_counted.h:115]          stream_refcount:0x1c620b0 /public/home/lifei/xinzk/source/grpc-rdma/src/core/lib/transport/transport.h:161 ref 3 -> 4 TryToConnect
I0308 11:23:00.371273206   20911 work_serializer.cc:78]      WorkSerializer::Run() 0x1c62760 Scheduling callback [/public/home/lifei/xinzk/source/grpc-rdma/src/core/ext/filters/client_channel/client_channel.cc:1839]
I0308 11:23:00.371313117   20911 work_serializer.cc:101]       Scheduling on queue : item 0x1c59420
D0308 11:23:00.371352488   20911 transport.h:175]            CLIENT_CHANNEL 0x1c620b0:0x1c62030 UNREF CheckResolutionLocked
I0308 11:23:00.371395479   20911 work_serializer.cc:158]     WorkSerializer::DrainQueueOwned() 0x1c62760
I0308 11:23:00.371435321   20911 work_serializer.cc:201]       Running item 0x1c59420 : callback scheduled at [/public/home/lifei/xinzk/source/grpc-rdma/src/core/ext/filters/client_channel/client_channel.cc:1839]
I0308 11:23:00.371551864   20911 client_channel.cc:1543]     chand=0x1c62130: starting name resolution
D0308 11:23:00.371594745   20911 transport.h:158]            CLIENT_CHANNEL 0x1c620b0:0x1c62030 REF ResolverResultHandler
I0308 11:23:00.371629226   20911 ref_counted.h:115]          stream_refcount:0x1c620b0 /public/home/lifei/xinzk/source/grpc-rdma/src/core/lib/transport/transport.h:161 ref 3 -> 4 ResolverResultHandler
I0308 11:23:00.372270515   20911 connectivity_state.cc:159]  ConnectivityStateTracker client_channel[0x1c621e0]: IDLE -> CONNECTING (started resolving, OK)
D0308 11:23:00.372406619   20911 dns_resolver_ares.cc:170]   (c-ares resolver) resolver:0x1c6a480 AresClientChannelDNSResolver::StartLocked() is called.
D0308 11:23:00.372486861   20911 grpc_ares_wrapper.cc:1048]  (c-ares resolver) request:0x1c62610 c-ares grpc_dns_lookup_ares_impl name=12.8.10.78:5000, default_port=https
I0308 11:23:00.372778520   20911 grpc_ares_wrapper.cc:531]   (c-ares resolver) request:0x1c62610 c-ares address sorting: input[0]=12.8.10.78:5000
I0308 11:23:00.372977006   20911 grpc_ares_wrapper.cc:531]   (c-ares resolver) request:0x1c62610 c-ares address sorting: output[0]=12.8.10.78:5000
D0308 11:23:00.373065498   20911 dns_resolver_ares.cc:465]   (c-ares resolver) resolver:0x1c6a480 Started resolving. pending_request_:0x1c62610
I0308 11:23:00.373110539   20911 client_channel.cc:1556]     chand=0x1c62130: created resolver=0x1c6a480
D0308 11:23:00.373145490   20911 transport.h:175]            CLIENT_CHANNEL 0x1c620b0:0x1c62030 UNREF TryToConnect
D0308 11:23:00.373183162   20911 exec_ctx.cc:54]             closure 0x1c5fa00 finished
D0308 11:23:00.373223803   20911 exec_ctx.cc:34]             running closure 0x1c6a528: created [/public/home/lifei/xinzk/source/grpc-rdma/src/core/ext/filters/client_channel/resolver/dns/c_ares/dns_resolver_ares.cc:158]: scheduled [/public/home/lifei/xinzk/source/grpc-rdma/src/core/ext/filters/client_channel/resolver/dns/c_ares/grpc_ares_wrapper.cc:596]
I0308 11:23:00.373272434   20911 work_serializer.cc:78]      WorkSerializer::Run() 0x1c62760 Scheduling callback [/public/home/lifei/xinzk/source/grpc-rdma/src/core/ext/filters/client_channel/resolver/dns/c_ares/dns_resolver_ares.cc:318]
I0308 11:23:00.373310525   20911 work_serializer.cc:90]        Executing immediately
I0308 11:23:00.373428869   20911 client_channel.cc:1207]     chand=0x1c62130: got resolver result
I0308 11:23:00.373595814   20911 client_channel.cc:1264]     chand=0x1c62130: resolver returned no service config. Using default service config for channel.
I0308 11:23:00.373829460   20911 client_channel.cc:1446]     chand=0x1c62130: resolver returned updated service config: "{}"
I0308 11:23:00.373882812   20911 client_channel.cc:1461]     chand=0x1c62130: using ConfigSelector (nil)
D0308 11:23:00.373947684   20911 transport.h:158]            CLIENT_CHANNEL 0x1c620b0:0x1c62030 REF ClientChannelControlHelper
I0308 11:23:00.373989875   20911 ref_counted.h:115]          stream_refcount:0x1c620b0 /public/home/lifei/xinzk/source/grpc-rdma/src/core/lib/transport/transport.h:161 ref 3 -> 4 ClientChannelControlHelper
I0308 11:23:00.374089078   20911 ev_posix.cc:352]            (polling-api) pollset_set_create(0x1c57f70)
I0308 11:23:00.374154310   20911 client_channel.cc:1409]     chand=0x1c62130: created new LB policy 0x1c6b420
I0308 11:23:00.374196461   20911 ev_posix.cc:377]            (polling-api) pollset_set_add_pollset_set(0x1c57f70, 0x1c646a0)
I0308 11:23:00.374230362   20911 ev_epollex_linux.cc:1488]   PSS: merge (0x1c57f70, 0x1c646a0)
I0308 11:23:00.374275054   20911 ev_epollex_linux.cc:1522]   PSS: parent 0x1c57f70 to 0x1c646a0
I0308 11:23:00.374335895   20911 client_channel.cc:1391]     chand=0x1c62130: Updating child policy 0x1c6b420
I0308 11:23:00.374392327   20911 child_policy_handler.cc:218] [child_policy_handler 0x1c6b420] creating new child policy pick_first
I0308 11:23:00.374468649   20911 ev_posix.cc:352]            (polling-api) pollset_set_create(0x1c6b500)
I0308 11:23:00.374510880   20911 pick_first.cc:142]          Pick First 0x1c6b600 created.
I0308 11:23:00.374550882   20911 child_policy_handler.cc:279] [child_policy_handler 0x1c6b420] created new LB policy "pick_first" (0x1c6b600)
I0308 11:23:00.374597573   20911 ev_posix.cc:377]            (polling-api) pollset_set_add_pollset_set(0x1c6b500, 0x1c57f70)
I0308 11:23:00.374633854   20911 ev_epollex_linux.cc:1488]   PSS: merge (0x1c6b500, 0x1c57f70)
I0308 11:23:00.374674195   20911 ev_epollex_linux.cc:1522]   PSS: parent 0x1c6b500 to 0x1c646a0
I0308 11:23:00.374717826   20911 child_policy_handler.cc:237] [child_policy_handler 0x1c6b420] updating child policy 0x1c6b600
I0308 11:23:00.374769148   20911 pick_first.cc:265]          Pick First 0x1c6b600 received update with 1 addresses
I0308 11:23:00.374853190   20911 subchannel_list.h:366]      [pick_first 0x1c6b600] Creating subchannel list 0x1c6bad0 for 1 subchannels
I0308 11:23:00.374976834   20911 ref_counted.h:75]           SubchannelPoolInterface:0x1c62368 ref 2 -> 3
I0308 11:23:00.375087007   20911 ref_counted.h:75]           SubchannelPoolInterface:0x1c62368 ref 3 -> 4
I0308 11:23:00.375196390   20911 ref_counted.h:75]           SubchannelPoolInterface:0x1c62368 ref 4 -> 5
I0308 11:23:00.375316844   20911 ev_posix.cc:352]            (polling-api) pollset_set_create(0x1c6b820)
I0308 11:23:00.375556041   20914 timer_manager.cc:189]       sleep for a 1001 milliseconds
I0308 11:23:00.388427257   20911 ref_counted.h:75]           SubchannelPoolInterface:0x1c62368 ref 5 -> 6
I0308 11:23:00.388546370   20911 dual_ref_counted.h:261]     Subchannel:0x1c6c500 ref 1 -> 2; (weak_refs=0)
I0308 11:23:00.388635243   20911 ref_counted.h:75]           SubchannelPoolInterface:0x1c62368 ref 6 -> 7
I0308 11:23:00.388699605   20911 ref_counted.h:75]           SubchannelPoolInterface:0x1c62368 ref 7 -> 8
I0308 11:23:00.388750776   20911 dual_ref_counted.h:74]      Subchannel:0x1c6c500 unref 2 -> 1, weak_ref 0 -> 1
I0308 11:23:00.388788347   20911 dual_ref_counted.h:176]     Subchannel:0x1c6c500 weak_unref 1 -> 0 (refs=1)
I0308 11:23:00.388825958   20911 ref_counted.h:165]          SubchannelPoolInterface:0x1c62368 unref 8 -> 7
I0308 11:23:00.388862589   20911 ref_counted.h:165]          SubchannelPoolInterface:0x1c62368 unref 7 -> 6
I0308 11:23:00.388933641   20911 client_channel.cc:452]      chand=0x1c62130: creating subchannel wrapper 0x1c6d580 for subchannel 0x1c6c500
D0308 11:23:00.388972833   20911 transport.h:158]            CLIENT_CHANNEL 0x1c620b0:0x1c62030 REF SubchannelWrapper
I0308 11:23:00.389007524   20911 ref_counted.h:115]          stream_refcount:0x1c620b0 /public/home/lifei/xinzk/source/grpc-rdma/src/core/lib/transport/transport.h:161 ref 4 -> 5 SubchannelWrapper
I0308 11:23:00.389343044   20911 subchannel_list.h:386]      [pick_first 0x1c6b600] subchannel list 0x1c6bad0 index 0: Created subchannel 0x1c6d580 for address 12.8.10.78:5000 args={}
I0308 11:23:00.389414926   20911 subchannel_list.h:313]      [pick_first 0x1c6b600] subchannel list 0x1c6bad0 index 0 of 1 (subchannel 0x1c6d580): starting watch (from IDLE)
I0308 11:23:00.389594541   20911 ev_posix.cc:377]            (polling-api) pollset_set_add_pollset_set(0x1c6b820, 0x1c6b500)
I0308 11:23:00.389650132   20911 ev_epollex_linux.cc:1488]   PSS: merge (0x1c6b820, 0x1c6b500)
I0308 11:23:00.389696544   20911 ev_epollex_linux.cc:1522]   PSS: parent 0x1c6b820 to 0x1c646a0
I0308 11:23:00.389790047   20911 dual_ref_counted.h:310]     Subchannel:0x1c6c500 /public/home/lifei/xinzk/source/grpc-rdma/src/core/ext/filters/client_channel/subchannel.cc:878 weak_ref 0 -> 1 (refs=1) connecting
I0308 11:23:00.389896230   20911 subchannel.cc:935]          src/core/ext/filters/client_channel/subchannel.cc:ContinueConnectingLocked() before connector_->Connect()
I0308 11:23:00.389951241   20911 chttp2_connector.cc:97]     src/core/ext/transport/chttp2/client/chttp2_connector.cc:Connect before grpc_rdma_client_connect
I0308 11:23:00.391161576   20911 ib_client_posix.cc:451]     rdma_client_connect_impl
I0308 11:23:00.391253119   20911 ev_posix.cc:253]            (polling-api) fd_create(9, rdma-client-connection:ipv4:12.8.10.78:5000, 1)
I0308 11:23:00.391293870   20911 ev_posix.cc:254]            (fd-trace) fd_create(9, rdma-client-connection:ipv4:12.8.10.78:5000, 1)
D0308 11:23:00.391456695   20911 ev_epollex_linux.cc:175]    FD 9 0x1c6bcf0 create rdma-client-connection:ipv4:12.8.10.78:5000 fd=9
I0308 11:23:00.391503746   20911 ev_posix.cc:394]            (polling-api) pollset_set_add_fd(0x1c6b820, 9)
I0308 11:23:00.391538947   20911 ev_epollex_linux.cc:1353]   PSS:0x1c6b820: add fd 0x1c6bcf0 (9)
I0308 11:23:00.391574918   20911 ev_epollex_linux.cc:616]    add fd 0x1c6bcf0 (9) to pollable 0x1c5d170
I0308 11:23:00.391614620   20911 ev_epollex_linux.cc:616]    add fd 0x1c6bcf0 (9) to pollable 0x1c69f50
D0308 11:23:00.391652061   20911 ev_epollex_linux.cc:352]    FD 9 0x1c6bcf0   ref 2 1 -> 3 [pollset_set; /public/home/lifei/xinzk/source/grpc-rdma/src/core/lib/iomgr/ev_epollex_linux.cc:1367]
I0308 11:23:00.391696982   20911 ib_client_posix.cc:480]     src/core/lib/iomgr/ib_client_posix.cc:rdma_client_connect_impl() init mu
I0308 11:23:00.391737693   20911 ref_counted.h:75]           SubchannelPoolInterface:0x1c62368 ref 6 -> 7
I0308 11:23:00.391786455   20911 timer_generic.cc:344]       TIMER 0x1c71058: SET 21571 now 1571 call 0x1c71098[0x2b785689bfdf]
I0308 11:23:00.391835736   20911 timer_generic.cc:382]         .. add to shard 17 with queue_deadline_cap=2575 => is_first_timer=false
D0308 11:23:00.391877537   20911 lockfree_event.cc:103]      LockfreeEvent::NotifyOn: 0x1c6bd30 curr=0 closure=0x1c710e8
I0308 11:23:00.391913988   20911 ib_client_posix.cc:505]     src/core/lib/iomgr/ib_client_posix.cc:rdma_client_connect_impl() end
I0308 11:23:00.391954440   20911 subchannel.cc:937]          src/core/ext/filters/client_channel/subchannel.cc:ContinueConnectingLocked() after connector_->Connect()
I0308 11:23:00.392010101   20911 client_channel.cc:1472]     chand=0x1c62130: switching to ConfigSelector (nil)
I0308 11:23:00.392095254   20911 channel_stack.cc:110]       CHANNEL_STACK: init DynamicFilters
I0308 11:23:00.392146285   20911 channel_stack.cc:112]       CHANNEL_STACK:   filter retry_filter
I0308 11:23:00.392228958   20911 connectivity_state.cc:182]  ConnectivityStateTracker client_channel[0x1c621e0]: get current state: CONNECTING
I0308 11:23:00.392272929   20911 client_channel.cc:2204]     chand=0x1c62130 calld=0x1c692d0: applying service config to call
I0308 11:23:00.392340691   20911 client_channel.cc:2175]     chand=0x1c62130 calld=0x1c692d0: removing from resolver queued picks list
I0308 11:23:00.392389282   20911 ev_posix.cc:371]            (polling-api) pollset_set_del_pollset(0x1c646a0, 0x1c5f8c0)
I0308 11:23:00.392427813   20911 ev_epollex_linux.cc:1398]   PSS:0x1c646a0: del pollset 0x1c5f8c0
I0308 11:23:00.392466535   20911 ev_epollex_linux.cc:660]    PS:0x1c5f8c0 (pollable:0x1c69f50) maybe_finish_shutdown sc=(nil) (target:!NULL) rw=(nil) (target:NULL) cpsc=0 (target:0)
I0308 11:23:00.392554267   20911 work_serializer.cc:158]     WorkSerializer::DrainQueueOwned() 0x1c62760
D0308 11:23:00.392600478   20911 exec_ctx.cc:54]             closure 0x1c6a528 finished
D0308 11:23:00.392639550   20911 exec_ctx.cc:34]             running closure 0x1c6d8b8: created [/public/home/lifei/xinzk/source/grpc-rdma/src/core/ext/filters/client_channel/subchannel.cc:373]: scheduled [/public/home/lifei/xinzk/source/grpc-rdma/src/core/ext/filters/client_channel/subchannel.cc:364]
I0308 11:23:00.392678931   20911 client_channel.cc:577]      chand=0x1c62130: connectivity change for subchannel wrapper 0x1c6d580 subchannel 0x1c6c500; hopping into work_serializer
I0308 11:23:00.392725602   20911 work_serializer.cc:78]      WorkSerializer::Run() 0x1c62760 Scheduling callback [/public/home/lifei/xinzk/source/grpc-rdma/src/core/ext/filters/client_channel/client_channel.cc:589]
I0308 11:23:00.392760923   20911 work_serializer.cc:90]        Executing immediately
I0308 11:23:00.392800314   20911 client_channel.cc:612]      chand=0x1c62130: processing connectivity change in work serializer for subchannel wrapper 0x1c6d580 subchannel 0x1c6c500 watcher=0x1c62660
I0308 11:23:00.392864486   20911 subchannel_list.h:246]      [pick_first 0x1c6b600] subchannel list 0x1c6bad0 index 0 of 1 (subchannel 0x1c6d580): connectivity changed: state=CONNECTING, shutting_down=0, pending_watcher=0x1c62660
I0308 11:23:00.392925378   20911 client_channel.cc:941]      chand=0x1c62130: update: state=CONNECTING status=(OK) picker=0x1c58720
I0308 11:23:00.392984470   20911 work_serializer.cc:158]     WorkSerializer::DrainQueueOwned() 0x1c62760
D0308 11:23:00.393027531   20911 exec_ctx.cc:54]             closure 0x1c6d8b8 finished
D0308 11:23:00.393063502   20911 exec_ctx.cc:34]             running closure 0x1c69398: created [/public/home/lifei/xinzk/source/grpc-rdma/src/core/ext/filters/client_channel/client_channel.cc:2291]: scheduled [/public/home/lifei/xinzk/source/grpc-rdma/src/core/ext/filters/client_channel/client_channel.cc:2292]
I0308 11:23:00.393102143   20911 client_channel.cc:2403]     chand=0x1c62130 calld=0x1c692d0: creating dynamic call stack on channel_stack=0x1c717b0
I0308 11:23:00.393268258   20911 retry_filter.cc:2062]       chand=0x1c71710 calld=0x1c69730: created call
I0308 11:23:00.393316619   20911 client_channel.cc:2103]     chand=0x1c62130 calld=0x1c692d0: starting 1 pending batches on dynamic_call=0x1c69690
I0308 11:23:00.393412152   20911 call_combiner.h:172]        CallCombinerClosureList executing closure while already holding call_combiner 0x1c68548: closure=0x1c694c8 error="OK" reason=resuming pending batch from client channel call
D0308 11:23:00.393467334   20911 exec_ctx.cc:54]             closure 0x1c69398 finished
D0308 11:23:00.393514105   20911 exec_ctx.cc:34]             running closure 0x1c694c8: created [/public/home/lifei/xinzk/source/grpc-rdma/src/core/ext/filters/client_channel/client_channel.cc:2114]: scheduled [/public/home/lifei/xinzk/source/grpc-rdma/src/core/lib/iomgr/call_combiner.h:180]
I0308 11:23:00.393595507   20911 dynamic_filters.cc:66]      OP[retry_filter:0x1c69710]:  SEND_INITIAL_METADATA{:path: /mathtest.MathTest/sendRequest} SEND_MESSAGE:flags=0x00000000:len=4 SEND_TRAILING_METADATA{} RECV_INITIAL_METADATA RECV_MESSAGE RECV_TRAILING_METADATA
I0308 11:23:00.393679390   20911 retry_filter.cc:2157]       chand=0x1c71710 calld=0x1c69730: batch started from surface:  SEND_INITIAL_METADATA{:path: /mathtest.MathTest/sendRequest} SEND_MESSAGE:flags=0x00000000:len=4 SEND_TRAILING_METADATA{} RECV_INITIAL_METADATA RECV_MESSAGE RECV_TRAILING_METADATA
I0308 11:23:00.393728781   20911 retry_filter.cc:2395]       chand=0x1c71710 calld=0x1c69730: adding pending batch at index 0
I0308 11:23:00.393911887   20911 retry_filter.cc:2267]       chand=0x1c71710 calld=0x1c69730: creating call attempt
I0308 11:23:00.394130113   20911 retry_filter.cc:688]        chand=0x1c71710 calld=0x1c69730 attempt=0x1c729a0: create lb_call=0x1c734a0
I0308 11:23:00.394185475   20911 retry_filter.cc:1063]       chand=0x1c71710 calld=0x1c69730 attempt=0x1c729a0: constructing retriable batches
I0308 11:23:00.394240816   20911 retry_filter.cc:1298]       chand=0x1c71710 calld=0x1c69730 attempt=0x1c729a0: creating batch 0x1c713a0
D0308 11:23:00.394278288   20911 transport.h:158]            CALL_STACK 0x1c696a0:0x1c69690 REF Retry BatchData
I0308 11:23:00.394312369   20911 ref_counted.h:115]          stream_refcount:0x1c696a0 /public/home/lifei/xinzk/source/grpc-rdma/src/core/lib/transport/transport.h:161 ref 1 -> 2 Retry BatchData
I0308 11:23:00.395292377   20911 retry_filter.cc:1974]       chand=0x1c71710 calld=0x1c69730 attempt=0x1c729a0: starting calld->send_messages[0]
I0308 11:23:00.395472882   20911 retry_filter.cc:865]        chand=0x1c71710 calld=0x1c69730 attempt=0x1c729a0: adding batch (start replayable pending batch on call attempt):  SEND_INITIAL_METADATA{:path: /mathtest.MathTest/sendRequest} SEND_MESSAGE:flags=0x00000000:len=4 SEND_TRAILING_METADATA{} RECV_INITIAL_METADATA RECV_MESSAGE RECV_TRAILING_METADATA
I0308 11:23:00.395526744   20911 retry_filter.cc:1073]       chand=0x1c71710 calld=0x1c69730 attempt=0x1c729a0: starting 1 retriable batches on lb_call=0x1c734a0
I0308 11:23:00.395565845   20911 call_combiner.h:172]        CallCombinerClosureList executing closure while already holding call_combiner 0x1c68548: closure=0x1c713e0 error="OK" reason=start replayable pending batch on call attempt
D0308 11:23:00.395604716   20911 exec_ctx.cc:54]             closure 0x1c694c8 finished
